ID,Frequency (GHz),W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm)
14011,4.2399,4.8729,7.9964,1.9378,2.1344,7.307
14012,4.6028,4.1151,4.8213,0.3666,1.6073,4.6128
14013,1.6445,0.4598,6.1735,1.133,2.1887,8.8189
14014,3.9764,2.301,4.0582,1.6296,4.9492,18.7045
14015,1.6946,3.2116,4.3589,0.8579,1.8807,17.1748
14016,1.4393,1.0339,4.7284,1.499,3.361,10.0281
14017,4.7492,2.9321,0.8138,1.8084,1.6661,11.1382
14018,0.5869,2.7149,14.4637,0.5971,2.3866,8.4686
14019,4.8442,1.1205,8.2922,0.5588,0.5105,18.9227
14020,1.1717,0.7919,0.9421,0.7853,3.8398,19.7839
14021,4.1875,3.8189,7.7151,0.895,3.339,6.1385
14022,1.7417,1.6807,18.1547,0.311,1.8027,19.0196
14023,2.0782,1.2958,10.4693,0.5394,2.6717,19.0332
14024,1.4754,3.7156,19.7417,1.7591,4.3739,9.7322
14025,3.1348,3.7067,11.0292,1.1765,0.3177,8.5906
14026,2.0664,1.4544,19.2746,0.6089,4.6581,17.4514
14027,3.4583,4.3756,4.4351,1.8928,2.4069,18.8896
14028,0.5704,3.4724,6.1537,1.5712,4.3123,8.3464
14029,0.7897,1.7942,14.1494,0.7886,4.3213,10.0979
14030,0.9485,2.1947,19.743,1.5543,0.3877,7.0175
14031,2.3855,3.6609,16.5933,1.2325,3.9298,4.5744
14032,4.1666,1.1368,11.2973,1.3993,3.6911,19.9262
14033,4.4968,2.3969,2.1605,0.7108,0.3116,4.1822
14034,1.6016,3.3024,7.6054,0.498,4.7086,16.3765
14035,3.0847,2.7435,2.1853,0.5818,3.2093,8.7014
14036,3.9576,3.0808,6.57,0.2591,0.9209,2.1315
14037,1.7997,2.7764,5.5464,0.995,0.7032,6.8361
14038,2.3405,1.0762,8.0768,0.8718,2.8537,2.1211
14039,2.8579,2.11,16.8269,0.1048,0.3883,19.648
14040,1.1069,2.7067,3.4323,1.7271,0.9056,5.6714
14041,0.6169,3.9223,6.4682,1.3956,4.7474,15.0477
14042,1.1876,3.3041,5.5918,0.9488,3.7492,8.7996
14043,3.3208,2.1903,6.2748,1.9373,3.1061,13.7488
14044,0.8313,4.8746,7.5322,1.887,1.1232,5.4739
14045,1.3536,0.6282,5.2641,0.2807,1.1707,2.3357
14046,2.0203,1.1133,18.8803,1.2688,2.2846,16.2667
14047,0.8504,1.7724,8.692,1.6523,3.7949,14.476
14048,1.3626,1.22,2.7252,0.4286,0.1193,2.6334
14049,4.6007,3.1647,9.6193,0.3431,0.3169,14.7535
14050,0.5868,0.2938,4.0964,0.5936,4.3635,12.154
14051,3.4404,0.9694,4.7145,0.6314,4.0889,3.844
14052,2.2298,1.5374,6.0583,1.9335,3.5039,16.5993
14053,3.5269,3.4484,2.9328,1.5829,2.5477,14.1285
14054,3.1491,4.3917,14.5618,0.2135,0.8111,10.383
14055,1.5057,4.0126,15.943,1.5943,0.6009,3.9834
14056,4.3124,0.9922,8.1886,0.4223,4.5363,11.0332
14057,2.7137,2.8705,13.9354,0.7788,1.9744,3.6728
14058,4.2014,0.2471,8.0846,0.7052,3.509,4.0871
14059,2.3271,1.6216,3.6995,0.6175,2.3354,5.2062
14060,4.9311,4.0493,8.2448,0.6866,3.6816,13.263
14061,3.9672,2.3377,11.3613,1.533,1.0472,13.7533
14062,4.8468,0.8347,1.2994,0.6065,2.4744,1.9188
14063,2.8145,2.2489,13.2624,1.6214,1.9466,13.1925
14064,2.6316,1.0704,14.9809,0.2729,1.3008,1.1746
14065,3.8995,2.0266,17.2694,1.2308,3.0288,18.1472
14066,4.4613,2.4904,2.504,1.7397,2.7312,15.684
14067,4.8387,1.8128,0.5018,0.2507,2.5289,14.6256
14068,1.9605,4.6911,1.9287,1.3063,2.9964,5.1646
14069,4.0942,2.8564,18.5203,1.0721,0.7984,19.7574
14070,1.4479,4.2302,15.4283,0.7307,1.9157,18.5242
14071,2.9551,3.8276,16.791,0.2913,1.6909,10.0535
14072,1.3093,3.3397,10.5818,1.3853,3.869,1.1764
14073,2.0633,2.5348,10.771,0.6878,0.275,10.4721
14074,4.6911,0.1107,6.3209,0.7439,1.4815,3.5026
14075,1.1574,3.106,16.9337,1.4634,4.5996,12.0576
14076,3.3458,1.8442,16.6805,1.8962,1.5717,19.7384
14077,3.1683,0.677,8.1473,0.7339,0.8443,15.26
14078,1.0433,2.2787,6.9207,1.5188,3.811,6.784
14079,1.9669,3.7042,14.8983,1.9176,0.3344,8.1861
14080,3.0334,4.8122,1.0103,0.2859,2.189,18.9192
14081,1.3423,1.9331,17.269,1.1055,4.2913,2.6482
14082,4.1028,2.7593,9.2018,0.1212,4.7751,17.8582
14083,4.8747,4.2711,9.1062,1.6678,1.3202,1.9534
14084,1.4664,1.7366,13.547,0.6451,1.5514,8.5857
14085,1.3411,0.7971,13.0921,0.7323,2.8795,15.0363
14086,2.5472,1.4812,5.6865,1.4058,1.2101,8.2038
14087,3.8649,4.5057,18.8939,1.5994,0.8386,11.6368
14088,1.7672,0.881,19.7334,0.86,2.1873,10.0702
14089,0.5895,1.7132,10.7568,1.3645,0.454,12.2906
14090,2.9355,2.3767,11.4469,1.9171,4.4817,3.8333
14091,4.8047,4.2509,11.3092,1.7851,1.7376,11.7728
14092,2.2607,4.6948,9.9729,1.4325,1.7478,19.7517
14093,2.3906,2.1865,18.9311,1.8918,3.9777,4.2809
14094,4.8601,4.6666,5.2727,1.7643,1.7736,1.8055
14095,3.6257,0.8911,2.6052,1.4851,3.8284,8.1399
14096,3.7363,0.8686,18.6262,1.8428,0.9881,7.8001
14097,3.0322,4.7513,4.6542,1.653,2.692,2.9519
14098,4.8857,2.5974,15.1085,1.0543,3.8657,11.6438
14099,3.5999,1.0109,4.4755,1.0543,2.3045,9.033
14100,4.5276,2.4912,19.2236,0.1167,0.4519,16.8193
14101,3.6472,3.9377,15.9269,0.1575,3.7108,8.7477
14102,3.808,4.1519,18.415,1.5178,2.5209,19.7204
14103,1.8068,4.3334,19.0442,1.1541,1.6504,15.7071
14104,1.8657,2.8909,2.1463,1.5458,4.9647,10.0053
14105,4.0234,4.348,8.9511,1.9044,4.3928,11.2678
14106,1.8352,2.5991,13.138,0.9598,0.2853,17.4016
14107,3.0325,3.0746,16.1479,0.268,3.0089,15.596
14108,1.6221,3.8177,5.2087,1.2905,1.8374,13.3258
14109,4.1764,2.1846,18.3348,0.2895,0.2833,5.7028
14110,0.9973,0.4605,4.809,1.2805,0.1554,8.5018
14111,4.2325,1.8158,17.3904,1.1027,2.9604,15.8501
14112,3.2123,3.1573,10.4979,1.4532,1.6686,12.7356
14113,1.3411,1.0424,10.5507,0.7668,3.5462,19.1517
14114,2.9392,0.8271,7.7931,0.3733,2.3267,17.5212
14115,1.7712,1.5361,2.5184,0.5488,3.8558,8.8283
14116,1.9556,0.2573,7.2683,1.3989,4.084,6.2294
14117,2.0819,3.7428,8.8214,1.0085,3.3204,2.9193
14118,0.7849,1.3677,9.8409,1.1276,2.1481,8.4487
14119,4.9368,0.7088,14.9124,0.7137,4.9435,4.9203
14120,0.6419,3.5257,7.3654,1.6897,1.6028,0.8258
14121,3.4812,4.2303,8.4286,1.999,2.6214,3.1952
14122,2.1705,0.1974,18.1689,0.6932,2.65,9.3337
14123,3.407,1.2446,15.1751,1.4654,2.1989,17.9021
14124,2.1031,4.7316,0.9457,0.4251,0.6949,6.7587
14125,3.5319,1.9877,16.3357,1.5106,1.8343,9.1018
14126,3.7816,4.6991,19.8039,0.9186,1.1544,7.9894
14127,3.6075,1.4436,18.8255,1.2501,4.5093,7.695
14128,1.0128,1.1685,16.8011,0.5514,3.3113,14.5915
14129,3.456,1.1491,12.7689,1.7181,1.5103,10.3676
14130,1.7599,0.5176,5.9247,0.4293,2.8721,8.4646
14131,0.6296,4.4925,13.2614,1.8644,4.2807,18.8948
14132,2.3667,4.9012,14.0641,0.2164,4.6787,5.8876
14133,2.4509,4.7771,5.9904,0.6472,0.4677,16.7406
14134,2.6023,4.2749,5.4789,1.1696,3.9559,10.5426
14135,3.6717,4.2498,8.24,1.7311,4.8349,9.1129
14136,1.8898,3.3393,13.0024,1.1963,2.3895,1.7278
14137,1.9188,4.1484,6.2147,0.5106,4.9781,17.2406
14138,0.7725,1.1209,11.3355,1.7322,4.7897,5.7779
14139,3.5907,2.0008,18.0351,1.2327,3.3188,13.7474
14140,3.0552,3.2401,6.2545,0.5415,4.2533,17.5523
14141,2.0724,4.3864,19.3365,1.1675,1.5532,10.9547
14142,3.6734,3.3363,9.7303,1.3831,4.5956,12.993
14143,2.9181,4.2112,2.4677,1.393,3.0003,7.1336
14144,2.6116,2.4224,1.5733,1.4756,2.5974,14.6675
14145,2.801,3.6148,7.1042,1.8019,4.1947,13.3038
14146,3.3636,4.9019,5.5458,1.6672,4.4585,9.1733
14147,3.47,0.8521,16.9524,1.2546,3.5361,12.8747
14148,1.8003,4.6419,14.8839,0.1611,0.2227,5.6219
14149,1.1333,2.6596,17.7487,1.5241,3.0263,13.3275
14150,1.2049,3.2518,11.9904,1.9524,4.1261,13.6185
14151,3.3773,4.4016,8.9914,0.6806,2.7718,9.1753
14152,4.4279,2.1073,5.7761,1.2531,4.6808,5.3628
14153,2.3427,2.1516,11.8706,1.5605,4.4969,16.1598
14154,1.2628,2.6832,12.5515,1.3143,2.6954,15.2055
14155,3.9047,0.1936,8.1625,1.8528,2.0788,1.6133
14156,4.2462,2.5337,18.7636,0.9993,0.3699,10.1382
14157,4.4626,1.5263,12.9791,1.1105,3.1997,2.2962
14158,3.2307,4.647,16.8309,0.1727,1.4032,6.7315
14159,4.3733,0.5299,12.5976,1.8104,3.3754,8.7337
14160,0.5694,2.3507,6.6725,0.5983,4.0139,3.9493
14161,0.9826,4.7426,14.8641,1.959,2.1026,9.6436
14162,0.9166,4.5151,4.99,0.484,0.1764,14.2713
14163,3.7067,3.5366,12.1339,0.5816,4.3397,9.0208
14164,0.8131,2.9879,8.3461,1.0208,2.7901,5.0657
14165,2.7336,1.4756,3.4228,1.355,1.6425,8.589
14166,2.6272,1.8981,8.5582,0.9373,3.2056,12.0519
14167,1.8982,0.5417,6.5505,0.7685,3.4045,18.7597
14168,4.4168,3.9519,2.6883,1.1262,0.8226,10.2392
14169,1.2669,1.687,16.5647,1.9208,3.2674,17.8133
14170,2.0861,3.3721,10.2224,1.9277,1.5048,19.6988
14171,3.9838,1.8522,7.2539,0.7233,4.0378,11.4009
14172,0.6369,2.3752,10.3468,1.3923,4.7134,3.3678
14173,3.5283,2.8195,15.2144,1.4716,0.6031,17.5686
14174,4.1738,4.0291,0.8568,1.3415,4.5951,17.3159
14175,4.6952,1.1347,11.1617,0.3147,4.5269,17.4369
14176,4.4433,2.054,9.8434,1.125,1.7802,19.0357
14177,1.9372,0.7374,17.9149,1.5502,0.2413,5.8905
14178,3.1386,0.4712,11.3414,0.4815,3.3498,7.0019
14179,0.8478,3.0629,3.1778,0.7616,1.7891,13.8984
14180,1.6604,1.0265,8.0793,0.4872,1.0391,11.4961
14181,0.924,0.393,12.6109,1.7852,0.632,17.4332
14182,1.9183,4.4958,1.3957,1.7312,1.0605,5.4629
14183,4.4383,2.7181,17.7507,0.4215,1.2636,13.339
14184,2.0623,0.7597,1.8218,1.545,3.9995,18.838
14185,3.0285,0.3618,1.0965,0.7916,3.9407,4.7095
14186,2.4502,0.6873,0.5393,1.4037,2.5226,6.4842
14187,2.5651,2.4096,13.833,1.0374,2.8113,8.4446
14188,4.8631,3.3755,9.3904,0.9968,4.5973,2.1983
14189,1.8327,3.2423,2.5049,1.7744,4.5494,3.949
14190,3.323,0.8077,17.1961,1.3102,4.1605,7.9508
14191,2.3903,3.2041,4.453,0.548,1.9339,1.9507
14192,0.7752,2.0838,6.8633,0.3104,1.8961,7.5716
14193,2.702,2.3772,3.9656,1.8735,4.4506,5.2608
14194,4.16,4.027,18.5717,0.3914,4.6399,17.358
14195,0.9444,1.7292,15.2823,1.4947,4.0124,12.3656
14196,0.8132,0.8203,14.6171,1.0421,3.81,18.0206
14197,1.1913,4.3799,1.3579,0.3661,2.835,4.4563
14198,3.9398,1.1394,10.6927,1.5756,1.7578,2.0923
14199,3.758,1.5407,11.7213,1.8185,1.2791,7.4039
14200,3.0426,3.5623,7.9592,0.3309,0.7877,1.6003
14201,2.607,3.4494,6.7742,0.2275,3.6682,17.7285
14202,4.4975,4.022,17.1129,1.7147,3.9072,4.169
14203,3.9501,1.0009,0.9488,1.0518,1.8574,3.2509
14204,4.1537,1.8262,12.6944,1.3816,0.1296,15.8617
14205,4.1597,0.7168,8.1878,0.9388,4.6991,14.3919
14206,3.3922,2.7511,13.486,0.8836,2.2417,1.6106
14207,2.5611,1.5336,4.3594,0.6694,4.8755,10.4365
14208,4.391,3.4758,5.1539,1.1696,3.4191,9.2526
14209,4.667,0.1017,11.9436,0.4036,0.7077,8.0437
14210,0.6071,0.3924,19.6088,1.4627,1.7021,2.9707
14211,0.732,2.2195,19.5063,1.1439,3.3195,15.8534
14212,4.8143,4.7951,5.3551,1.7103,3.2813,5.1791
14213,1.7472,4.4652,2.4958,1.8499,1.2367,9.4356
14214,4.4302,4.9706,12.0117,1.8111,0.9666,17.6808
14215,2.2496,2.1425,8.6897,1.2423,1.4563,6.7057
14216,1.036,0.3282,15.3529,0.7056,3.9558,1.1968
14217,0.862,1.5992,10.7957,0.7786,1.2852,17.8381
14218,1.2043,3.4113,10.4564,1.3398,3.5387,10.1309
14219,1.6245,0.7623,13.106,1.4527,4.363,10.1927
14220,2.6983,1.5699,2.9652,0.4064,2.0189,11.2526
14221,3.6567,0.3752,13.7047,1.9961,0.1343,4.0087
14222,4.9388,2.4273,10.0261,0.3043,0.7956,14.4403
14223,2.4868,1.1237,16.4929,1.2535,1.6283,5.0119
14224,2.8318,0.5471,3.2048,1.1089,1.0308,6.3724
14225,2.8482,2.115,6.3646,1.2229,1.5186,12.8082
14226,2.9275,1.821,19.0298,1.1142,2.7658,15.1202
14227,2.8298,2.7338,11.2849,0.21,0.2033,14.747
14228,0.5395,3.7703,18.6214,1.9923,0.415,2.1214
14229,0.5078,0.6516,13.9362,1.9644,4.2931,15.2143
14230,0.9395,3.9765,18.5654,1.0963,2.6594,13.4231
14231,0.957,0.2288,6.6976,0.4959,4.6841,12.2994
14232,3.672,2.2712,2.2654,0.4476,0.1161,19.354
14233,1.4221,2.9784,16.1437,0.2084,0.1007,7.2631
14234,4.5262,4.7893,16.1871,1.2625,3.724,13.8202
14235,4.6787,2.9122,12.5671,1.0086,2.4336,11.6781
14236,4.8915,0.8779,11.8016,0.891,4.5776,8.0652
14237,4.7259,2.636,18.3407,1.0979,3.9543,15.8707
14238,1.7235,2.0393,3.9417,1.7584,2.5694,8.3614
14239,2.794,2.4488,12.5225,0.2344,2.4448,11.3918
14240,1.2895,1.0658,1.4705,1.1338,4.0748,11.4322
14241,4.1279,2.5541,3.2469,1.4319,4.0382,10.4709
14242,4.4979,0.8352,9.0268,1.9443,1.457,9.4193
14243,4.3308,3.7458,16.5135,1.5054,3.4057,3.7717
14244,2.4502,3.0101,14.7961,1.1414,3.2517,5.1965
14245,3.914,0.4848,19.4943,1.5569,4.2948,2.9083
14246,0.9391,4.4591,1.3745,1.9944,4.356,14.6081
14247,0.6811,3.1203,7.9364,1.7886,1.4146,15.0137
14248,3.8896,1.6489,3.5964,0.2693,4.4107,12.9513
14249,2.4141,0.3236,1.2207,1.1922,4.6304,18.394
14250,4.98,3.1979,5.6558,1.5943,0.6372,5.6668
14251,0.9376,1.9299,5.2672,1.3766,2.9114,16.51
14252,4.3503,4.5473,8.6905,0.8922,2.2387,4.1238
14253,2.6599,0.2709,3.2316,0.7126,2.0697,1.8225
14254,4.2222,0.2916,10.0271,1.2913,3.5537,0.5025
14255,4.1771,4.7516,18.4419,0.8835,0.7349,11.8224
14256,4.622,4.8279,15.0897,0.8448,4.1177,15.6854
14257,1.8403,0.2359,16.9225,1.6898,0.2303,16.5482
14258,4.7741,3.6086,16.1922,0.6997,2.9337,9.6778
14259,1.1825,1.1853,8.0977,1.3254,1.2043,1.6451
14260,0.8689,3.5368,14.3247,1.7595,3.3706,1.1974
14261,2.4423,4.3568,15.208,1.2814,2.6746,18.3884
14262,4.2275,0.5941,4.5101,1.0363,4.9988,2.3123
14263,2.6304,1.27,17.2751,0.1671,4.3254,15.801
14264,4.2318,0.218,9.4261,1.395,1.7495,1.8566
14265,3.7836,0.3148,0.819,1.9953,2.6896,4.0753
14266,1.4424,0.2451,13.046,1.636,1.6573,3.6759
14267,4.77,4.0233,13.6969,1.3055,3.6711,5.9036
14268,0.7735,1.5616,11.2594,0.9914,2.1698,8.4098
14269,4.5423,2.5167,4.6421,0.5262,0.6656,2.9322
14270,1.87,3.9604,9.9044,1.415,3.3379,19.4766
14271,2.7507,2.5252,8.3025,0.4369,0.1542,0.5391
14272,2.4006,2.2031,19.5064,1.7854,1.5567,15.5563
14273,1.2733,0.1567,16.5812,0.7726,4.545,10.7669
14274,2.1117,2.8834,15.357,0.8596,0.5615,2.1687
14275,1.3682,0.7112,4.0309,0.5105,2.5717,2.8406
14276,1.4175,3.8468,6.9553,1.0152,3.9959,12.005
14277,1.3418,1.3629,7.9044,1.3929,4.5321,6.6474
14278,2.7006,3.4035,10.1062,0.6753,2.8432,9.2787
14279,4.0907,3.2665,1.0894,1.4335,0.8506,11.2092
14280,3.0604,3.1217,12.0637,1.2791,4.7102,11.6803
14281,4.5194,1.4081,7.4782,0.8075,3.7714,11.8609
14282,3.3645,1.4087,11.4527,0.6943,2.0388,1.866
14283,3.602,4.3289,0.6751,1.7365,1.4572,14.9393
14284,3.5042,0.1628,6.7679,0.1227,0.3338,6.2233
14285,2.5226,0.9895,15.489,1.4602,1.038,2.7314
14286,3.602,3.0898,10.2711,0.8928,3.9106,2.4929
14287,0.8137,4.1035,15.8833,1.4636,0.6323,5.1218
14288,4.3693,1.8559,14.1297,1.0643,0.7341,12.7593
14289,4.0002,3.3019,17.171,0.2593,1.0601,9.7025
14290,1.6035,2.8301,0.6451,1.9659,2.0372,2.5879
14291,3.9561,0.4162,5.5958,0.2635,1.0264,1.1309
14292,0.5569,3.1466,11.2016,0.401,4.5311,0.981
14293,1.4776,4.0881,18.8499,0.8986,1.3625,8.7113
14294,0.7931,4.963,13.7559,1.8948,4.6055,15.8687
14295,4.011,0.2452,9.4035,0.6568,4.9262,11.6858
14296,3.9014,3.3343,3.0378,1.1805,3.7985,16.2887
14297,4.1614,2.1313,10.1177,1.0907,0.1364,6.7281
14298,0.5202,0.148,9.1012,0.7273,1.2761,3.2367
14299,2.7555,3.1104,15.6796,1.423,1.4099,16.1585
14300,3.6718,0.6999,8.5603,1.0528,2.7595,14.6929
14301,1.1993,1.955,6.7173,1.1987,0.8761,11.9876
14302,3.4241,1.3807,2.2495,0.4993,0.4784,17.8113
14303,0.8785,1.8697,1.4068,1.8604,0.9642,12.7983
14304,1.316,2.5142,9.0631,0.3101,1.704,10.7534
14305,2.6411,1.8601,7.2638,1.4115,0.3411,10.295
14306,3.441,2.8084,11.3288,1.7832,1.0573,12.5388
14307,1.1564,1.2694,14.3826,0.2596,0.9208,10.5742
14308,1.3335,3.2133,1.2801,0.1546,3.8846,5.8177
14309,1.42,4.2834,10.1762,0.733,0.9309,19.1005
14310,1.5742,1.1979,17.3085,1.6009,3.9785,19.1822
14311,1.5195,2.5886,9.3757,1.463,2.5901,3.7535
14312,2.2782,3.2786,10.6642,1.6621,3.8135,10.8466
14313,3.4421,2.8667,9.9924,0.8552,2.3067,15.8975
14314,2.4711,1.8917,8.101,1.9881,4.5152,1.5681
14315,3.9919,3.2468,2.6473,0.7956,1.4549,2.9095
14316,3.7367,0.2384,2.9639,1.6302,3.8574,11.1254
14317,1.0694,1.9125,3.9922,0.7665,0.9008,1.0526
14318,0.7198,2.7098,15.955,0.515,4.425,16.7433
14319,4.4507,0.201,5.869,0.7397,0.2394,17.5267
14320,0.8592,2.5875,18.9884,0.4661,2.3414,14.8581
14321,1.1675,3.3058,16.2983,0.3453,2.1642,16.536
14322,0.5996,3.8201,13.8485,0.7915,3.1566,13.5984
14323,3.3275,0.6555,14.5477,0.3789,2.2606,3.2664
14324,3.1207,4.9538,1.4288,1.0544,2.986,1.0822
14325,4.9411,3.0702,11.5836,0.1673,4.3223,17.0376
14326,4.4912,1.8796,18.8506,0.9195,0.7959,14.2896
14327,2.3488,1.3206,1.2626,1.9202,1.2963,8.27
14328,2.1721,2.9072,6.1748,0.7818,4.0338,16.0383
14329,1.8358,4.4204,1.5045,0.3615,1.2175,1.539
14330,1.1858,2.6508,11.61,0.6799,4.5377,6.7222
14331,1.1214,3.3412,2.7659,1.6034,2.75,7.1661
14332,1.0953,1.8527,9.8454,0.696,0.5011,2.5451
14333,1.0135,2.0019,14.539,0.8286,0.2012,14.9631
14334,1.5823,1.5023,3.7066,1.5987,3.8382,15.6618
14335,1.88,3.5576,15.2296,0.5951,4.2961,11.8718
14336,4.8271,1.86,1.674,1.0088,1.2753,8.6482
14337,3.1031,1.0345,3.4177,0.22,1.2798,12.3375
14338,4.9442,1.9101,5.9622,0.4307,4.7751,18.0185
14339,2.1761,4.2838,16.0239,0.4979,3.3153,7.4762
14340,2.5593,3.7174,17.0777,0.9808,0.9213,7.0178
14341,1.9606,1.7397,4.7974,1.6599,2.2981,12.6432
14342,1.323,4.5434,2.3678,0.7736,4.5611,13.8309
14343,1.1442,0.4667,17.0351,0.8229,3.1438,9.4261
14344,4.7529,0.3438,13.1627,0.6719,2.0966,17.2615
14345,4.9406,0.7246,3.5782,0.7089,0.8401,7.3696
14346,0.7021,0.6706,11.3755,0.8667,3.6574,12.9979
14347,1.1766,0.5304,17.5112,1.8089,1.4542,13.522
14348,2.4059,3.3406,1.8555,0.1463,2.873,6.249
14349,1.3385,3.0441,2.1326,1.2867,3.0407,0.8676
14350,2.1375,3.2733,5.8354,1.7866,2.8217,16.6189
14351,1.0809,3.473,13.2191,0.8922,1.3078,9.9072
14352,2.5543,3.8087,3.9712,1.3367,3.5705,2.3614
14353,1.7226,1.1152,16.4192,1.2129,2.8736,19.1724
14354,2.0836,3.1493,15.1334,0.7434,2.078,6.2803
14355,0.9244,2.9422,11.4396,0.3611,0.3554,9.7521
14356,2.4266,4.7239,2.7633,0.5173,1.7232,9.9393
14357,4.9247,1.2386,19.7703,0.2091,1.827,7.7306
14358,1.9797,0.3877,10.0557,1.553,3.9767,3.4559
14359,4.4439,3.3021,9.3154,1.1123,2.6159,14.2337
14360,4.2944,3.7268,19.9136,1.5927,4.6674,4.312
14361,4.7843,1.4877,17.3454,0.6514,3.7786,13.8054
14362,4.0555,2.8972,9.3992,1.6289,2.7362,16.1411
14363,3.4682,0.3917,8.6667,0.6875,0.9275,0.9511
14364,4.3546,4.8042,2.3702,0.3305,1.1831,14.7698
14365,0.8404,0.6386,18.567,1.1142,0.8844,12.9416
14366,2.5827,0.4311,16.9536,1.8961,2.27,4.3176
14367,4.9517,0.3161,6.545,0.8873,3.6404,12.5938
14368,3.9632,2.1936,15.1898,1.0792,3.8207,8.705
14369,4.8293,0.5761,15.3732,0.9574,0.5711,2.1495
14370,4.0084,3.7488,4.9443,0.9691,2.53,10.7119
14371,4.437,4.5045,12.4663,0.5073,2.4591,19.4791
14372,3.6794,1.3751,5.4731,0.9027,2.2505,13.1518
14373,3.9223,3.181,15.9028,1.0441,1.576,6.9456
14374,2.8543,0.3075,3.4993,1.5152,2.4315,11.4883
14375,4.6591,1.9942,13.5437,0.3657,2.6314,14.8871
14376,4.2127,1.5354,6.8572,1.1861,3.0385,3.5467
14377,4.2975,1.2202,1.2056,1.3582,1.9491,10.8122
14378,3.5285,3.2591,2.9122,0.8273,4.731,10.3839
14379,1.8706,0.7381,13.2705,1.1434,1.7603,7.8429
14380,0.6603,4.3175,5.1783,1.4504,4.4857,15.0678
14381,4.7104,3.3577,12.8052,0.9837,4.0261,11.5177
14382,3.1375,3.5826,8.589,0.7334,2.3798,14.1285
14383,1.8416,4.6832,14.0079,1.6669,2.5319,12.1212
14384,1.1711,4.7176,10.1125,1.9788,4.3623,15.7283
14385,4.2329,2.8031,6.5167,0.5116,2.5144,12.8617
14386,4.2643,2.5274,3.3435,1.7899,3.429,13.716
14387,4.1653,1.7434,7.1514,1.1363,4.0656,4.8972
14388,3.4029,3.6063,12.8804,0.9511,4.5486,16.9944
14389,2.1471,2.7372,14.9392,1.797,1.169,3.5298
14390,1.8683,4.6711,3.6266,1.8296,4.8793,7.1264
14391,0.5385,1.2693,13.4533,0.618,4.8301,17.8434
14392,4.2512,1.6202,3.996,0.7809,1.557,2.6174
14393,0.8934,1.6488,4.8255,1.7187,3.1073,17.4002
14394,3.3384,4.0494,10.8607,1.0326,0.3299,9.7696
14395,2.7683,0.5853,6.1394,0.6473,0.9224,4.0799
14396,2.8701,2.3327,13.4011,1.9281,2.9607,14.8753
14397,4.6702,2.1951,19.1376,0.5124,3.2855,6.0357
14398,0.6423,0.4584,3.4034,1.2596,2.7196,13.7192
14399,3.9803,2.1129,11.625,0.913,3.5531,15.9225
14400,0.7342,2.6156,18.5043,0.9575,3.9852,11.6019
14401,0.6717,0.419,3.9423,0.3014,0.9254,15.827
14402,2.4342,2.5983,7.6536,0.5886,3.3321,18.7334
14403,0.7838,4.8003,2.9105,0.4173,2.8567,11.2328
14404,4.0511,4.8967,13.0197,1.5243,0.6762,3.4712
14405,2.883,2.7052,13.5483,1.4257,1.2202,14.3372
14406,0.6307,2.624,13.4516,1.6088,2.1564,8.4964
14407,0.6823,1.499,11.0715,1.4286,4.3324,10.8604
14408,3.257,4.9859,15.0521,0.3445,1.1634,12.7229
14409,4.1275,1.4437,1.1996,1.9593,0.9963,14.4911
14410,2.4701,2.3192,19.1715,0.4582,3.6327,12.976
14411,2.9956,0.1144,4.8309,0.7659,4.8814,5.041
14412,4.0992,1.8112,2.8705,1.4431,2.2919,15.0892
14413,3.2473,0.4501,18.8522,0.3669,1.8157,16.2432
14414,1.5114,3.7447,16.6935,0.424,1.3443,1.2346
14415,3.2587,2.849,15.415,1.7655,0.3437,6.5088
14416,3.3273,2.9036,2.5425,0.7308,0.9742,19.5671
14417,3.8035,1.5039,16.2468,1.3646,0.5577,3.9657
14418,3.2939,4.093,12.376,1.7316,2.5211,4.065
14419,4.8616,0.116,14.7722,1.9491,4.8932,12.0308
14420,1.3878,1.7346,19.5724,0.4995,3.9583,7.0942
14421,4.7799,3.3315,4.2916,0.3336,3.0483,13.3139
14422,2.9225,4.5488,10.3354,1.5074,2.4845,5.6216
14423,3.5238,1.2496,15.1904,0.4576,3.1242,8.807
14424,0.9476,2.7514,8.9563,1.2024,1.9425,19.9694
14425,2.2126,2.7362,1.5657,1.112,0.9741,7.7821
14426,3.9622,4.3835,2.6731,1.1639,2.9899,2.1802
14427,3.6811,0.3475,12.2408,1.3346,2.6877,14.9775
14428,0.6806,2.1799,6.0576,1.7167,4.7282,11.9772
14429,2.9597,0.9941,3.1879,0.6165,3.2842,9.1693
14430,0.8973,0.2055,7.1279,1.155,3.8898,18.2201
14431,4.9814,0.8205,4.4191,0.7397,0.5542,3.3592
14432,4.5378,4.8847,0.9668,0.7056,3.8286,10.0498
14433,0.5949,1.1528,3.4604,0.1388,4.916,4.2398
14434,4.3639,4.6817,17.72,1.2389,3.3217,2.1281
14435,4.6374,1.1057,0.7347,1.9478,3.7362,9.1259
14436,2.091,4.6633,15.5901,1.5464,4.8997,18.9733
14437,3.7378,3.3076,15.1925,0.5613,2.0172,14.5803
14438,2.4895,0.6548,11.5026,1.4606,4.1385,5.073
14439,3.4485,2.9514,4.5647,0.6649,2.0585,9.5211
