ID,l_s,l_2,l_1,w_s,w_2,w_1,freq,s_2,s_1
14130,5.8,6.95,7.3,0.6,0.57,0.13,3.40 GHz,0.27,0.15
14131,5.93,6.75,7.46,0.54,0.6,0.28,3.75 GHz,0.29,0.28
14132,6.04,6.89,7.4,0.63,0.44,0.2,2.41 GHz,0.17,0.28
14133,5.77,6.9,6.79,0.56,0.56,0.21,2.44 GHz,0.26,0.19
14134,6.24,7.49,6.72,0.67,0.42,0.11,1.27 GHz,0.31,0.31
14135,6.49,6.72,6.88,0.57,0.52,0.28,2.72 GHz,0.17,0.23
14136,6.41,6.64,6.71,0.59,0.53,0.19,2.59 GHz,0.28,0.28
14137,5.7,6.63,6.64,0.6,0.46,0.24,2.56 GHz,0.22,0.25
14138,5.78,6.56,6.7,0.55,0.49,0.2,1.92 GHz,0.23,0.24
14139,5.55,6.55,6.91,0.66,0.46,0.16,1.97 GHz,0.34,0.16
14140,6.47,6.88,6.58,0.56,0.46,0.29,3.28 GHz,0.16,0.28
14141,5.71,7.13,7.08,0.63,0.46,0.27,1.43 GHz,0.34,0.19
14142,5.92,7.06,6.51,0.68,0.6,0.22,2.32 GHz,0.17,0.22
14143,5.87,7.07,7.02,0.64,0.45,0.14,1.43 GHz,0.21,0.3
14144,5.98,7.21,7.38,0.67,0.56,0.14,3.92 GHz,0.26,0.18
14145,6.06,7.32,6.85,0.59,0.51,0.24,2.28 GHz,0.27,0.34
14146,6.18,6.63,7.08,0.57,0.44,0.18,2.91 GHz,0.22,0.22
14147,5.55,7.24,6.94,0.6,0.47,0.23,3.99 GHz,0.3,0.3
14148,5.58,7.2,6.75,0.52,0.53,0.26,1.61 GHz,0.31,0.23
14149,6.45,6.69,7.09,0.51,0.52,0.17,2.45 GHz,0.26,0.31
14150,5.62,6.77,6.64,0.61,0.44,0.12,3.30 GHz,0.18,0.34
14151,5.88,7.04,7.43,0.56,0.49,0.28,3.04 GHz,0.24,0.31
14152,5.52,7.32,7.21,0.66,0.43,0.16,3.44 GHz,0.28,0.33
14153,5.78,7.31,7.46,0.51,0.6,0.17,3.04 GHz,0.16,0.23
14154,6.34,6.52,7.11,0.51,0.45,0.26,3.77 GHz,0.27,0.27
14155,5.6,7.23,6.63,0.65,0.42,0.23,1.73 GHz,0.19,0.32
14156,5.61,6.83,6.8,0.58,0.59,0.18,1.34 GHz,0.21,0.31
14157,5.59,6.59,7.19,0.65,0.59,0.24,3.75 GHz,0.15,0.28
14158,5.87,7.2,6.72,0.52,0.5,0.19,2.22 GHz,0.22,0.32
14159,5.95,7.37,7.28,0.67,0.44,0.12,1.08 GHz,0.17,0.24
14160,6.23,7.05,6.83,0.69,0.51,0.27,2.84 GHz,0.35,0.29
14161,6.29,6.58,7.32,0.56,0.57,0.23,2.89 GHz,0.27,0.31
14162,5.89,7.0,6.68,0.51,0.43,0.2,1.88 GHz,0.29,0.24
14163,5.98,7.35,7.11,0.52,0.45,0.18,1.27 GHz,0.21,0.26
14164,5.74,7.21,6.58,0.68,0.46,0.13,1.45 GHz,0.29,0.18
14165,6.32,6.83,6.77,0.6,0.55,0.12,1.49 GHz,0.16,0.26
14166,5.58,7.3,6.55,0.61,0.5,0.23,1.99 GHz,0.33,0.2
14167,5.65,6.93,7.08,0.53,0.43,0.17,1.36 GHz,0.27,0.21
14168,5.72,7.38,7.23,0.69,0.46,0.28,1.54 GHz,0.24,0.31
14169,6.18,6.89,6.66,0.52,0.44,0.26,2.95 GHz,0.17,0.21
14170,5.96,7.32,6.67,0.61,0.46,0.22,2.71 GHz,0.25,0.28
14171,5.64,6.88,7.4,0.52,0.58,0.13,2.00 GHz,0.34,0.2
14172,6.39,6.89,7.05,0.55,0.55,0.17,1.53 GHz,0.24,0.29
14173,5.6,6.6,7.41,0.61,0.45,0.17,3.86 GHz,0.25,0.34
14174,6.11,7.13,7.16,0.6,0.53,0.28,2.91 GHz,0.32,0.28
14175,5.6,6.96,6.96,0.69,0.51,0.26,2.51 GHz,0.29,0.32
14176,6.04,6.89,7.04,0.68,0.47,0.25,3.45 GHz,0.28,0.2
14177,5.67,6.72,6.74,0.54,0.5,0.14,3.70 GHz,0.19,0.15
14178,6.46,7.34,6.74,0.63,0.54,0.18,2.30 GHz,0.21,0.19
14179,5.82,6.82,7.18,0.65,0.54,0.25,930.00 MHz,0.17,0.28
14180,6.02,7.02,7.5,0.64,0.5,0.16,1.27 GHz,0.17,0.34
14181,5.59,6.54,7.01,0.62,0.55,0.3,1.13 GHz,0.22,0.26
14182,6.14,6.97,7.44,0.68,0.43,0.16,1.96 GHz,0.25,0.35
14183,5.54,6.92,6.74,0.58,0.57,0.3,1.76 GHz,0.18,0.16
14184,5.94,7.48,7.49,0.65,0.6,0.12,1.12 GHz,0.3,0.32
14185,5.58,7.01,7.17,0.66,0.48,0.14,2.78 GHz,0.16,0.21
14186,5.72,7.28,7.4,0.55,0.56,0.13,1.73 GHz,0.28,0.17
14187,5.79,7.16,6.64,0.6,0.56,0.24,3.99 GHz,0.15,0.33
14188,6.47,7.03,6.59,0.59,0.46,0.18,2.89 GHz,0.32,0.25
14189,5.95,7.24,7.25,0.57,0.43,0.28,3.48 GHz,0.27,0.2
14190,6.1,7.33,6.94,0.68,0.43,0.13,2.01 GHz,0.23,0.33
14191,6.13,7.27,7.19,0.53,0.46,0.15,3.02 GHz,0.19,0.31
14192,6.06,6.67,7.19,0.65,0.45,0.12,2.60 GHz,0.31,0.32
14193,6.27,7.17,6.89,0.6,0.54,0.13,1.70 GHz,0.29,0.31
14194,5.9,6.65,7.07,0.54,0.42,0.14,2.00 GHz,0.31,0.33
14195,6.28,7.06,6.58,0.63,0.45,0.12,1.46 GHz,0.23,0.28
14196,5.57,7.05,7.5,0.66,0.52,0.23,2.06 GHz,0.16,0.32
14197,5.93,6.72,6.59,0.65,0.46,0.17,2.19 GHz,0.25,0.3
14198,6.49,7.0,6.63,0.57,0.47,0.29,3.07 GHz,0.16,0.25
14199,5.92,6.89,6.55,0.51,0.52,0.27,2.17 GHz,0.19,0.18
14200,6.49,7.09,7.16,0.62,0.59,0.15,2.16 GHz,0.29,0.24
14201,6.22,7.24,7.06,0.55,0.59,0.2,1.48 GHz,0.35,0.23
14202,5.87,6.91,7.16,0.66,0.43,0.25,2.10 GHz,0.24,0.18
14203,5.92,7.41,6.51,0.56,0.46,0.12,2.62 GHz,0.19,0.25
14204,5.96,7.47,6.7,0.51,0.42,0.29,1.62 GHz,0.24,0.2
14205,6.21,7.43,6.95,0.54,0.48,0.2,1.13 GHz,0.24,0.22
14206,6.49,7.43,6.78,0.53,0.48,0.23,1.08 GHz,0.27,0.27
14207,5.73,6.93,7.37,0.67,0.51,0.15,3.55 GHz,0.2,0.28
14208,6.49,6.85,7.21,0.67,0.43,0.17,2.79 GHz,0.23,0.31
14209,5.86,6.98,7.39,0.53,0.45,0.29,3.43 GHz,0.23,0.27
14210,5.79,6.72,7.3,0.57,0.49,0.22,1.03 GHz,0.25,0.3
14211,5.79,6.6,7.46,0.51,0.43,0.14,3.70 GHz,0.19,0.2
14212,5.52,6.58,6.67,0.59,0.47,0.27,2.05 GHz,0.21,0.22
14213,5.82,6.56,6.8,0.55,0.55,0.21,3.70 GHz,0.34,0.23
14214,6.41,6.99,7.38,0.52,0.46,0.28,830.00 MHz,0.31,0.23
14215,6.22,7.27,7.32,0.53,0.59,0.29,2.60 GHz,0.21,0.26
14216,6.09,7.48,6.59,0.64,0.6,0.24,2.94 GHz,0.33,0.18
14217,6.34,6.9,7.23,0.62,0.45,0.17,3.42 GHz,0.24,0.3
14218,6.1,6.87,7.01,0.68,0.42,0.14,2.64 GHz,0.26,0.23
14219,5.63,6.61,6.55,0.54,0.57,0.13,2.14 GHz,0.25,0.27
14220,5.83,7.46,6.6,0.66,0.58,0.3,3.08 GHz,0.3,0.22
14221,6.16,7.09,7.28,0.53,0.58,0.2,1.51 GHz,0.26,0.15
14222,6.1,6.94,7.13,0.63,0.54,0.27,2.49 GHz,0.27,0.19
14223,5.97,6.64,6.96,0.6,0.44,0.25,2.75 GHz,0.29,0.19
14224,6.02,6.99,7.22,0.53,0.51,0.29,1.57 GHz,0.19,0.21
14225,5.71,6.72,7.33,0.69,0.52,0.2,1.72 GHz,0.19,0.21
14226,5.53,6.59,6.78,0.56,0.6,0.19,3.83 GHz,0.19,0.3
14227,5.74,7.05,7.06,0.51,0.48,0.15,1.72 GHz,0.18,0.28
14228,6.15,6.69,6.52,0.64,0.47,0.21,1.11 GHz,0.3,0.34
14229,6.29,6.68,7.46,0.66,0.58,0.24,3.24 GHz,0.29,0.21
14230,5.97,6.68,7.4,0.66,0.46,0.3,2.07 GHz,0.27,0.27
14231,5.51,7.1,7.39,0.64,0.58,0.14,3.82 GHz,0.34,0.22
14232,5.74,6.68,6.6,0.6,0.51,0.14,2.11 GHz,0.15,0.17
14233,5.61,6.8,7.11,0.67,0.49,0.12,3.16 GHz,0.28,0.22
14234,5.71,6.7,6.67,0.67,0.57,0.29,3.68 GHz,0.27,0.33
14235,6.23,7.14,7.41,0.6,0.53,0.22,2.36 GHz,0.34,0.32
14236,6.41,6.64,7.26,0.61,0.53,0.17,2.30 GHz,0.19,0.16
14237,6.4,7.44,6.5,0.53,0.58,0.1,3.22 GHz,0.3,0.28
14238,6.25,6.93,6.67,0.52,0.44,0.2,3.69 GHz,0.24,0.18
14239,5.7,7.21,7.08,0.64,0.51,0.19,2.04 GHz,0.21,0.34
14240,5.6,7.11,6.68,0.5,0.43,0.17,3.24 GHz,0.3,0.19
14241,6.31,7.19,7.24,0.63,0.57,0.18,3.78 GHz,0.21,0.29
14242,6.22,6.99,6.8,0.54,0.51,0.12,1.97 GHz,0.23,0.17
14243,5.54,6.73,7.22,0.62,0.45,0.11,2.82 GHz,0.23,0.22
14244,6.2,6.62,6.67,0.54,0.46,0.22,2.48 GHz,0.22,0.16
14245,6.05,6.53,7.22,0.59,0.49,0.16,3.76 GHz,0.26,0.28
14246,5.72,7.47,6.54,0.65,0.56,0.21,2.07 GHz,0.2,0.26
14247,6.3,7.32,6.57,0.55,0.45,0.18,3.84 GHz,0.31,0.23
14248,5.73,7.19,7.35,0.59,0.54,0.14,850.00 MHz,0.17,0.25
14249,5.52,7.28,6.55,0.67,0.55,0.21,1.17 GHz,0.22,0.21
14250,6.41,7.38,7.27,0.63,0.45,0.13,2.97 GHz,0.21,0.29
14251,6.42,6.84,7.46,0.66,0.49,0.16,2.69 GHz,0.34,0.27
14252,5.66,7.35,6.9,0.57,0.42,0.19,3.99 GHz,0.18,0.25
14253,6.43,7.16,7.1,0.62,0.43,0.27,3.05 GHz,0.3,0.24
14254,5.88,6.85,7.38,0.67,0.47,0.18,2.49 GHz,0.18,0.24
14255,6.39,7.29,7.3,0.68,0.53,0.13,3.46 GHz,0.17,0.18
14256,6.17,7.48,7.29,0.55,0.42,0.11,2.42 GHz,0.3,0.23
14257,5.64,6.54,7.21,0.54,0.4,0.27,1.99 GHz,0.18,0.28
14258,5.66,6.51,7.38,0.54,0.52,0.21,1.15 GHz,0.24,0.25
14259,5.99,7.13,7.47,0.68,0.46,0.11,1.94 GHz,0.34,0.32
14260,5.88,7.42,6.99,0.7,0.41,0.16,3.44 GHz,0.15,0.16
14261,5.86,7.07,7.2,0.66,0.46,0.15,1.94 GHz,0.33,0.18
14262,6.21,6.79,6.86,0.56,0.41,0.1,3.17 GHz,0.26,0.29
14263,6.35,7.5,6.76,0.66,0.49,0.17,2.23 GHz,0.35,0.18
14264,5.89,7.24,7.34,0.63,0.51,0.1,890.00 MHz,0.32,0.28
14265,5.85,6.64,7.21,0.66,0.51,0.28,2.79 GHz,0.26,0.26
14266,6.17,6.97,7.47,0.64,0.45,0.2,3.11 GHz,0.25,0.18
14267,5.64,6.81,7.15,0.65,0.49,0.25,1.34 GHz,0.3,0.34
14268,6.31,6.79,6.5,0.52,0.43,0.17,3.92 GHz,0.35,0.28
14269,5.83,7.45,6.81,0.66,0.45,0.23,1.54 GHz,0.17,0.24
14270,5.91,6.57,7.19,0.69,0.59,0.18,2.29 GHz,0.21,0.26
14271,6.1,7.2,7.13,0.65,0.53,0.25,1.54 GHz,0.3,0.26
14272,5.52,7.38,6.58,0.57,0.49,0.12,2.49 GHz,0.2,0.31
14273,6.26,7.18,6.88,0.65,0.4,0.16,3.60 GHz,0.2,0.19
14274,5.73,6.97,7.13,0.57,0.43,0.14,1.90 GHz,0.27,0.28
14275,5.71,6.57,7.49,0.68,0.48,0.26,880.00 MHz,0.24,0.16
14276,6.39,7.39,7.08,0.51,0.42,0.2,2.87 GHz,0.21,0.16
14277,5.79,7.26,7.12,0.62,0.57,0.18,2.40 GHz,0.19,0.33
14278,6.01,7.16,6.62,0.66,0.56,0.17,2.76 GHz,0.16,0.22
14279,6.0,7.07,7.45,0.59,0.45,0.11,2.08 GHz,0.26,0.29
14280,5.75,7.29,6.78,0.51,0.45,0.25,2.80 GHz,0.24,0.18
14281,6.34,7.1,7.22,0.55,0.45,0.14,2.01 GHz,0.28,0.28
14282,5.65,6.68,7.05,0.54,0.49,0.12,3.65 GHz,0.26,0.3
14283,5.77,7.05,6.83,0.65,0.47,0.24,1.63 GHz,0.24,0.27
14284,6.16,6.94,6.62,0.54,0.58,0.2,1.18 GHz,0.25,0.32
14285,5.7,7.01,7.21,0.6,0.59,0.17,1.43 GHz,0.22,0.33
14286,5.91,7.27,7.12,0.52,0.6,0.11,3.87 GHz,0.22,0.33
14287,6.27,7.05,7.49,0.65,0.41,0.13,3.15 GHz,0.26,0.32
14288,6.33,7.16,6.82,0.69,0.47,0.25,1.71 GHz,0.25,0.27
14289,5.64,7.37,7.35,0.67,0.56,0.17,1.86 GHz,0.2,0.15
14290,6.33,6.77,6.6,0.64,0.44,0.21,1.03 GHz,0.3,0.26
14291,5.68,7.45,6.63,0.51,0.5,0.17,1.81 GHz,0.27,0.16
14292,5.82,7.05,6.88,0.65,0.48,0.26,1.64 GHz,0.35,0.33
14293,5.6,7.22,7.03,0.67,0.44,0.25,1.18 GHz,0.18,0.25
14294,5.81,7.41,6.67,0.64,0.5,0.1,2.57 GHz,0.29,0.2
14295,6.41,7.38,7.5,0.63,0.55,0.16,3.23 GHz,0.16,0.22
14296,6.27,6.69,7.35,0.66,0.46,0.3,3.75 GHz,0.27,0.16
14297,5.77,6.86,7.41,0.54,0.48,0.25,3.85 GHz,0.3,0.3
14298,6.13,7.2,7.33,0.62,0.45,0.29,2.53 GHz,0.28,0.29
14299,5.94,7.37,7.03,0.59,0.58,0.3,3.80 GHz,0.29,0.32
14300,5.51,7.3,7.17,0.55,0.57,0.12,1.41 GHz,0.22,0.26
14301,5.79,6.58,7.4,0.56,0.49,0.18,1.81 GHz,0.15,0.24
14302,5.68,7.07,6.72,0.58,0.41,0.11,960.00 MHz,0.33,0.23
14303,6.49,7.29,6.66,0.62,0.42,0.29,1.42 GHz,0.27,0.34
14304,5.63,6.56,6.67,0.57,0.54,0.23,2.11 GHz,0.2,0.3
14305,5.62,6.59,6.57,0.68,0.57,0.19,3.25 GHz,0.26,0.18
14306,6.16,7.38,7.1,0.54,0.45,0.15,2.90 GHz,0.34,0.16
14307,6.49,7.31,7.31,0.6,0.58,0.11,2.67 GHz,0.21,0.28
14308,6.38,7.38,6.51,0.65,0.43,0.21,1.21 GHz,0.27,0.33
14309,5.92,6.56,6.68,0.63,0.58,0.23,3.97 GHz,0.25,0.23
14310,6.02,7.49,7.26,0.57,0.56,0.25,1.56 GHz,0.32,0.28
14311,5.84,7.0,6.58,0.67,0.48,0.12,1.13 GHz,0.16,0.33
14312,5.84,6.6,7.07,0.57,0.5,0.24,1.95 GHz,0.28,0.15
14313,5.51,7.19,6.65,0.53,0.48,0.12,1.27 GHz,0.2,0.32
14314,6.23,7.46,7.24,0.62,0.47,0.1,1.71 GHz,0.3,0.25
14315,6.12,7.42,6.53,0.62,0.41,0.28,3.61 GHz,0.33,0.28
14316,5.54,6.66,7.47,0.52,0.5,0.18,2.49 GHz,0.2,0.26
14317,6.16,6.57,7.29,0.62,0.53,0.16,1.89 GHz,0.33,0.32
14318,5.78,7.22,6.91,0.52,0.49,0.17,1.51 GHz,0.21,0.22
14319,5.8,7.36,7.4,0.56,0.43,0.19,1.38 GHz,0.16,0.23
14320,5.76,6.88,6.75,0.57,0.55,0.19,3.99 GHz,0.15,0.21
14321,6.38,7.23,6.59,0.69,0.59,0.14,3.31 GHz,0.18,0.18
14322,5.97,6.94,7.22,0.58,0.4,0.27,1.07 GHz,0.21,0.32
14323,5.98,7.38,7.33,0.64,0.56,0.21,2.46 GHz,0.15,0.16
14324,5.62,6.61,6.78,0.57,0.55,0.11,3.21 GHz,0.24,0.35
14325,5.75,6.65,6.84,0.53,0.55,0.26,2.02 GHz,0.16,0.33
14326,6.28,7.11,6.64,0.52,0.49,0.25,1.15 GHz,0.27,0.2
14327,5.72,7.35,6.76,0.68,0.42,0.27,1.22 GHz,0.22,0.18
14328,6.26,7.27,6.71,0.55,0.41,0.15,2.89 GHz,0.22,0.32
14329,6.19,6.87,6.51,0.69,0.48,0.14,2.99 GHz,0.3,0.24
14330,5.89,7.35,7.46,0.65,0.46,0.25,3.03 GHz,0.27,0.27
14331,5.53,7.14,6.63,0.62,0.56,0.13,3.72 GHz,0.34,0.25
14332,6.39,6.72,7.31,0.54,0.45,0.26,1.93 GHz,0.31,0.34
14333,5.53,6.7,6.54,0.58,0.55,0.17,2.67 GHz,0.32,0.3
14334,5.62,6.56,6.86,0.54,0.6,0.25,3.30 GHz,0.22,0.18
14335,5.73,7.12,6.59,0.57,0.45,0.23,2.20 GHz,0.23,0.19
14336,5.89,7.23,6.67,0.69,0.41,0.3,3.59 GHz,0.17,0.25
14337,5.63,6.51,7.24,0.69,0.46,0.12,1.10 GHz,0.17,0.28
14338,6.12,6.57,6.93,0.57,0.57,0.23,2.78 GHz,0.2,0.23
14339,5.88,7.12,6.83,0.62,0.42,0.27,1.50 GHz,0.15,0.17
14340,6.0,7.03,7.24,0.63,0.4,0.21,860.00 MHz,0.28,0.32
14341,5.82,6.68,7.13,0.57,0.55,0.23,3.08 GHz,0.35,0.22
14342,6.07,6.51,6.84,0.5,0.59,0.28,1.66 GHz,0.33,0.33
14343,5.65,6.77,6.84,0.53,0.53,0.11,3.16 GHz,0.19,0.32
14344,5.74,7.27,6.71,0.65,0.56,0.22,3.10 GHz,0.18,0.33
14345,5.6,6.81,6.99,0.55,0.42,0.18,1.77 GHz,0.17,0.18
14346,6.48,6.88,7.41,0.56,0.5,0.23,990.00 MHz,0.23,0.3
14347,6.35,7.19,6.92,0.53,0.53,0.23,2.31 GHz,0.24,0.25
14348,6.11,7.48,7.46,0.52,0.56,0.29,3.97 GHz,0.32,0.26
14349,5.63,6.68,6.53,0.55,0.41,0.23,2.01 GHz,0.19,0.33
14350,6.31,6.79,6.51,0.62,0.5,0.3,3.80 GHz,0.17,0.19
14351,5.75,7.29,6.95,0.65,0.41,0.29,2.50 GHz,0.32,0.16
14352,6.25,7.04,6.65,0.63,0.45,0.2,1.79 GHz,0.29,0.28
14353,6.33,7.41,6.86,0.57,0.58,0.19,960.00 MHz,0.26,0.28
14354,5.7,7.13,7.43,0.54,0.41,0.3,3.25 GHz,0.21,0.24
14355,5.96,7.08,7.13,0.57,0.5,0.2,1.26 GHz,0.29,0.26
14356,6.35,7.49,7.41,0.57,0.49,0.19,2.17 GHz,0.17,0.27
14357,5.69,6.58,7.09,0.64,0.42,0.1,3.01 GHz,0.17,0.24
14358,5.67,6.83,6.91,0.56,0.46,0.19,1.86 GHz,0.17,0.2
14359,6.0,6.9,7.44,0.54,0.45,0.21,1.71 GHz,0.27,0.31
14360,5.59,6.5,7.41,0.57,0.5,0.19,810.00 MHz,0.15,0.23
14361,5.97,7.49,6.76,0.69,0.41,0.11,1.95 GHz,0.2,0.28
14362,6.34,7.33,6.59,0.57,0.56,0.15,3.54 GHz,0.27,0.16
14363,5.8,6.76,6.75,0.66,0.52,0.23,3.85 GHz,0.34,0.17
14364,6.0,7.43,7.24,0.54,0.42,0.25,2.07 GHz,0.28,0.23
14365,6.04,6.65,7.3,0.63,0.49,0.27,1.26 GHz,0.29,0.26
14366,6.28,6.84,7.24,0.55,0.6,0.15,860.00 MHz,0.3,0.28
14367,6.01,6.92,7.08,0.69,0.42,0.25,2.44 GHz,0.29,0.25
14368,5.87,7.23,6.72,0.61,0.48,0.26,1.35 GHz,0.3,0.19
14369,6.31,7.15,6.92,0.53,0.49,0.15,2.29 GHz,0.24,0.23
14370,6.37,7.18,6.52,0.5,0.6,0.29,3.55 GHz,0.3,0.34
14371,6.29,7.24,7.26,0.57,0.42,0.18,2.37 GHz,0.26,0.28
14372,6.29,6.7,6.52,0.55,0.57,0.29,860.00 MHz,0.31,0.33
14373,5.85,6.71,6.92,0.51,0.46,0.24,3.51 GHz,0.16,0.18
14374,6.08,6.8,7.43,0.51,0.56,0.15,2.45 GHz,0.29,0.24
14375,5.76,6.87,7.47,0.69,0.58,0.14,1.83 GHz,0.27,0.22
14376,5.98,6.92,6.88,0.65,0.46,0.24,2.97 GHz,0.24,0.32
14377,6.05,7.23,7.26,0.56,0.56,0.21,1.61 GHz,0.24,0.19
14378,6.49,7.38,7.39,0.67,0.52,0.23,2.34 GHz,0.27,0.26
14379,6.04,7.05,7.23,0.56,0.53,0.14,1.01 GHz,0.33,0.15
14380,6.39,6.5,6.64,0.62,0.4,0.22,2.97 GHz,0.33,0.33
14381,6.16,6.95,7.44,0.66,0.6,0.26,3.96 GHz,0.31,0.25
14382,5.74,7.17,7.16,0.52,0.48,0.3,1.24 GHz,0.19,0.19
14383,6.24,6.64,7.02,0.58,0.44,0.12,3.23 GHz,0.2,0.3
14384,5.58,6.59,6.56,0.55,0.43,0.14,2.55 GHz,0.32,0.19
14385,6.46,6.8,6.91,0.64,0.51,0.1,3.09 GHz,0.35,0.35
14386,6.1,6.77,6.51,0.59,0.47,0.22,1.44 GHz,0.34,0.23
14387,5.95,6.74,7.14,0.51,0.46,0.15,1.38 GHz,0.22,0.28
14388,6.38,7.13,6.69,0.55,0.55,0.19,3.92 GHz,0.28,0.35
14389,6.23,7.01,7.19,0.57,0.45,0.25,1.19 GHz,0.16,0.3
14390,6.07,6.51,7.0,0.62,0.41,0.18,2.79 GHz,0.19,0.27
14391,6.45,7.42,7.07,0.58,0.51,0.15,3.55 GHz,0.24,0.27
14392,6.36,6.7,7.4,0.62,0.48,0.28,1.92 GHz,0.28,0.21
14393,5.52,7.1,7.12,0.53,0.44,0.3,2.31 GHz,0.32,0.31
14394,5.9,7.37,6.59,0.7,0.4,0.16,820.00 MHz,0.28,0.33
14395,5.54,7.04,7.45,0.65,0.4,0.26,3.91 GHz,0.22,0.27
14396,5.96,6.5,7.23,0.52,0.44,0.17,2.34 GHz,0.16,0.28
14397,6.02,7.12,7.22,0.66,0.4,0.27,3.48 GHz,0.32,0.25
14398,5.94,7.11,7.38,0.59,0.58,0.17,1.82 GHz,0.25,0.15
14399,6.11,7.16,6.75,0.56,0.59,0.24,3.28 GHz,0.2,0.17
14400,6.43,7.24,7.28,0.66,0.45,0.29,3.87 GHz,0.18,0.18
14401,5.64,7.36,6.8,0.53,0.54,0.26,2.08 GHz,0.16,0.25
14402,6.42,6.66,6.9,0.62,0.6,0.17,2.46 GHz,0.2,0.18
14403,6.37,7.45,6.7,0.59,0.51,0.29,1.28 GHz,0.33,0.27
14404,5.68,6.6,6.54,0.67,0.48,0.11,3.56 GHz,0.26,0.23
14405,5.95,6.76,6.73,0.62,0.44,0.22,3.89 GHz,0.16,0.3
14406,5.97,6.6,6.89,0.66,0.46,0.3,1.70 GHz,0.19,0.33
14407,5.92,6.53,7.1,0.58,0.51,0.13,2.95 GHz,0.25,0.29
14408,5.7,6.59,6.74,0.64,0.5,0.26,3.86 GHz,0.15,0.32
14409,5.8,7.15,6.82,0.61,0.47,0.24,2.29 GHz,0.16,0.27
14410,5.61,6.8,7.03,0.55,0.56,0.27,800.00 MHz,0.2,0.31
14411,5.7,7.42,6.97,0.59,0.56,0.19,2.07 GHz,0.24,0.31
14412,5.79,6.95,7.35,0.68,0.53,0.11,3.34 GHz,0.31,0.18
14413,5.61,7.44,7.4,0.59,0.41,0.12,2.70 GHz,0.29,0.33
14414,5.7,7.33,7.03,0.56,0.48,0.16,1.92 GHz,0.29,0.33
14415,5.54,6.92,7.11,0.53,0.55,0.12,1.30 GHz,0.16,0.17
14416,6.13,6.74,6.52,0.62,0.51,0.23,2.52 GHz,0.18,0.28
14417,6.33,6.88,6.99,0.59,0.49,0.27,2.06 GHz,0.2,0.18
14418,6.04,7.16,6.83,0.56,0.46,0.23,3.89 GHz,0.22,0.25
14419,6.25,7.11,7.41,0.54,0.44,0.26,2.61 GHz,0.32,0.23
14420,5.93,6.5,7.46,0.7,0.56,0.2,3.51 GHz,0.35,0.28
14421,6.35,6.6,7.26,0.56,0.59,0.19,2.82 GHz,0.27,0.22
14422,5.52,6.87,7.3,0.61,0.44,0.2,3.20 GHz,0.25,0.31
14423,6.21,7.08,7.38,0.59,0.48,0.14,2.53 GHz,0.28,0.28
14424,6.36,7.46,7.35,0.52,0.43,0.26,1.23 GHz,0.24,0.32
14425,6.36,6.69,7.18,0.64,0.51,0.19,830.00 MHz,0.28,0.32
14426,6.23,6.99,7.27,0.66,0.53,0.11,2.77 GHz,0.31,0.28
14427,5.77,6.52,6.86,0.56,0.45,0.15,830.00 MHz,0.24,0.32
14428,6.48,6.72,6.52,0.7,0.48,0.26,2.02 GHz,0.34,0.27
14429,6.22,6.56,7.45,0.6,0.54,0.12,940.00 MHz,0.18,0.2
14430,5.81,6.64,6.91,0.64,0.48,0.13,3.51 GHz,0.32,0.16
14431,5.88,7.07,6.89,0.69,0.51,0.19,3.76 GHz,0.21,0.32
14432,5.89,6.58,7.34,0.58,0.55,0.16,2.99 GHz,0.27,0.29
14433,5.8,7.49,7.34,0.67,0.49,0.14,2.84 GHz,0.27,0.16
14434,5.73,7.29,6.56,0.52,0.47,0.18,1.95 GHz,0.16,0.21
14435,6.13,6.61,6.87,0.6,0.48,0.23,2.64 GHz,0.31,0.15
14436,6.31,6.51,6.64,0.64,0.47,0.24,1.14 GHz,0.29,0.23
14437,6.01,7.29,7.12,0.54,0.43,0.2,2.39 GHz,0.27,0.19
14438,6.2,6.67,6.79,0.64,0.46,0.15,2.61 GHz,0.27,0.26
14439,5.71,6.69,6.96,0.54,0.48,0.26,3.82 GHz,0.23,0.28
14440,6.42,7.34,7.19,0.66,0.43,0.11,2.53 GHz,0.26,0.26
14441,6.44,7.07,6.63,0.62,0.44,0.21,2.67 GHz,0.18,0.31
14442,6.04,7.19,7.13,0.56,0.45,0.26,1.43 GHz,0.3,0.18
14443,6.42,6.93,7.25,0.51,0.56,0.16,1.07 GHz,0.28,0.26
14444,6.28,7.39,6.61,0.62,0.55,0.28,900.00 MHz,0.26,0.22
14445,6.3,7.21,7.36,0.6,0.45,0.19,3.11 GHz,0.32,0.21
14446,6.39,6.52,6.9,0.6,0.52,0.17,2.03 GHz,0.28,0.17
14447,6.23,7.35,7.31,0.57,0.54,0.25,2.26 GHz,0.33,0.21
14448,5.59,7.42,7.12,0.62,0.42,0.14,3.85 GHz,0.21,0.31
14449,6.12,6.93,6.64,0.56,0.49,0.11,3.03 GHz,0.17,0.22
14450,6.11,7.08,7.34,0.54,0.53,0.23,2.07 GHz,0.33,0.25
14451,6.03,7.08,6.55,0.6,0.41,0.16,3.55 GHz,0.15,0.2
14452,5.5,7.42,7.23,0.64,0.4,0.18,3.32 GHz,0.34,0.27
14453,6.15,6.93,7.47,0.62,0.54,0.29,3.53 GHz,0.28,0.21
